t,T
0.0338,2280.588899
0.0339,2279.841747
0.034,2279.100898
0.0341,2278.366302
0.0342,2277.637911
0.0343,2276.915675
0.0344,2276.199547
0.0345,2275.489478
0.0346,2274.78542
0.0347,2274.087327
0.0348,2273.395151
0.0349,2272.708845
0.035,2272.028362
0.0351,2271.353658
0.0352,2270.684684
0.0353,2270.021397
0.0354,2269.363751
0.0355,2268.7117
0.0356,2268.065201
0.0357,2267.424208
0.0358,2266.788678
0.0359,2266.158567
0.036,2265.533832
0.0361,2264.914429
0.0362,2264.300315
0.0363,2263.691449
0.0364,2263.087787
0.0365,2262.489288
0.0366,2261.89591
0.0367,2261.307612
0.0368,2260.724352
0.0369,2260.14609
0.037,2259.572785
0.0371,2259.004398
0.0372,2258.440887
0.0373,2257.882214
0.0374,2257.32834
0.0375,2256.779224
0.0376,2256.234828
0.0377,2255.695114
0.0378,2255.160043
0.0379,2254.629578
0.038,2254.10368
0.0381,2253.582313
0.0382,2253.065439
0.0383,2252.553021
0.0384,2252.045023
0.0385,2251.541408
0.0386,2251.04214
0.0387,2250.547184
0.0388,2250.056504
0.0389,2249.570064
0.039,2249.08783
0.0391,2248.609767
0.0392,2248.135841
0.0393,2247.666016
0.0394,2247.200259
0.0395,2246.738537
0.0396,2246.280816
0.0397,2245.827063
0.0398,2245.377244
0.0399,2244.931327
0.04,2244.48928
0.0401,2244.05107
0.0402,2243.616666
0.0403,2243.186034
0.0404,2242.759145
0.0405,2242.335967
0.0406,2241.916469
0.0407,2241.500619
0.0408,2241.088388
0.0409,2240.679745
0.041,2240.274661
0.0411,2239.873104
0.0412,2239.475046
0.0413,2239.080457
0.0414,2238.689308
0.0415,2238.301571
0.0416,2237.917215
0.0417,2237.536214
0.0418,2237.158538
0.0419,2236.78416
0.042,2236.413051
0.0421,2236.045185
0.0422,2235.680533
0.0423,2235.319069
0.0424,2234.960766
0.0425,2234.605596
0.0426,2234.253534
0.0427,2233.904552
0.0428,2233.558626
0.0429,2233.215728
0.043,2232.875834
0.0431,2232.538917
0.0432,2232.204953
0.0433,2231.873916
0.0434,2231.545781
0.0435,2231.220524
0.0436,2230.89812
0.0437,2230.578545
0.0438,2230.261775
0.0439,2229.947786
0.044,2229.636553
0.0441,2229.328054
0.0442,2229.022265
0.0443,2228.719164
0.0444,2228.418726
0.0445,2228.120929
0.0446,2227.825751
0.0447,2227.533169
0.0448,2227.243161
0.0449,2226.955705
0.045,2226.670779
0.0451,2226.388361
0.0452,2226.10843
0.0453,2225.830964
0.0454,2225.555942
0.0455,2225.283344
0.0456,2225.013147
0.0457,2224.745333
0.0458,2224.479879
0.0459,2224.216766
0.046,2223.955974
0.0461,2223.697483
0.0462,2223.441272
0.0463,2223.187322
0.0464,2222.935614
0.0465,2222.686129
0.0466,2222.438846
0.0467,2222.193747
0.0468,2221.950814
0.0469,2221.710026
0.047,2221.471367
0.0471,2221.234817
0.0472,2221.000358
0.0473,2220.767973
0.0474,2220.537642
0.0475,2220.309349
0.0476,2220.083075
0.0477,2219.858804
0.0478,2219.636517
0.0479,2219.416199
0.048,2219.197831
0.0481,2218.981395
0.0482,2218.766876
0.0483,2218.554258
0.0484,2218.343522
0.0485,2218.134654
0.0486,2217.927637
0.0487,2217.722455
0.0488,2217.519091
0.0489,2217.31753
0.049,2217.117757
0.0491,2216.919755
0.0492,2216.72351
0.0493,2216.529005
0.0494,2216.336226
0.0495,2216.145158
0.0496,2215.955786
0.0497,2215.768094
0.0498,2215.582069
0.0499,2215.397696
0.05,2215.214959
