t,T
12240,300.0
12250,300.0
12260,300.0
12270,300.0
12280,300.0
12290,300.0
12300,300.0
12310,300.0
12320,300.001
12330,300.001
12340,300.001
12350,300.001
12360,300.001
12370,300.001
12380,300.001
12390,300.001
12400,300.001
12410,300.001
12420,300.001
12430,300.001
12440,300.001
12450,300.001
12460,300.002
12470,300.002
12480,300.002
12490,300.002
12500,300.002
12510,300.002
12520,300.002
12530,300.002
12540,300.002
12550,300.002
12560,300.002
12570,300.002
12580,300.003
12590,300.003
12600,300.003
12610,300.003
12620,300.003
12630,300.003
12640,300.003
12650,300.003
12660,300.003
12670,300.003
12680,300.003
12690,300.004
12700,300.004
12710,300.004
12720,300.004
12730,300.004
12740,300.004
12750,300.004
12760,300.004
12770,300.004
12780,300.004
12790,300.004
12800,300.005
12810,300.005
12820,300.005
12830,300.005
12840,300.005
12850,300.005
12860,300.005
12870,300.005
12880,300.005
12890,300.005
12900,300.006
12910,300.006
12920,300.006
12930,300.006
12940,300.006
12950,300.006
12960,300.006
12970,300.006
12980,300.006
12990,300.007
13000,300.007
13010,300.007
13020,300.007
13030,300.007
13040,300.007
13050,300.007
13060,300.007
13070,300.008
13080,300.008
13090,300.008
13100,300.008
13110,300.008
13120,300.008
13130,300.008
13140,300.008
13150,300.009
13160,300.009
13170,300.009
13180,300.009
13190,300.009
13200,300.009
13210,300.009
13220,300.009
13230,300.01
13240,300.01
13250,300.01
13260,300.01
13270,300.01
13280,300.01
13290,300.01
13300,300.011
13310,300.011
13320,300.011
13330,300.011
13340,300.011
13350,300.011
13360,300.011
13370,300.012
13380,300.012
13390,300.012
13400,300.012
13410,300.012
13420,300.012
13430,300.013
13440,300.013
13450,300.013
13460,300.013
13470,300.013
13480,300.013
13490,300.014
13500,300.014
13510,300.014
13520,300.014
13530,300.014
13540,300.014
13550,300.015
13560,300.015
13570,300.015
13580,300.015
13590,300.015
13600,300.015
13610,300.016
13620,300.016
13630,300.016
13640,300.016
13650,300.016
13660,300.017
13670,300.017
13680,300.017
13690,300.017
13700,300.017
13710,300.018
13720,300.018
13730,300.018
13740,300.018
13750,300.018
13760,300.019
13770,300.019
13780,300.019
13790,300.019
13800,300.019
13810,300.02
13820,300.02
13830,300.02
13840,300.02
13850,300.02
13860,300.021
